bar_index,date,open,high,low,close,upper_boundary,lower_boundary,go_long_signal,go_short_signal,pending_signal,action_executed,execution_price,reason,position_size,position_avg_price,equity,unrealized_pnl,total_equity
1801,2024-12-06,96945.630000,101898.990000,95981.720000,99740.840000,104628.630000,89262.630000,False,False,,SHORT_ENTRY,96945.630000,Reverse to Short,-20.319006,96945.630000,1987766.396525,-56795.889782,1930970.506743
1802,2024-12-07,99740.840000,100439.180000,98844.000000,99831.990000,107423.840000,92057.840000,False,False,,HOLD,,,-20.319006,96945.630000,1987766.396525,-58647.967212,1929118.429313
1803,2024-12-08,99831.990000,101351.000000,98657.700000,101109.590000,107187.540000,92476.440000,False,False,,HOLD,,,-20.319006,96945.630000,1987766.396525,-84607.529744,1903158.866781
1804,2024-12-09,101109.600000,101215.930000,94150.050000,97276.470000,107975.100000,94244.100000,False,True,,HOLD,,,-20.319006,96945.630000,1987766.396525,-6722.340066,1981044.056460
1805,2024-12-10,97276.480000,98270.000000,94256.540000,96593.000000,104070.480000,90482.480000,False,False,,HOLD,,,-20.319006,96945.630000,1987766.396525,7165.091215,1994931.487740
1806,2024-12-11,96593.000000,101888.000000,95658.240000,101125.000000,103387.000000,89799.000000,False,False,,HOLD,,,-20.319006,96945.630000,1987766.396525,-84920.645632,1902845.750893
1807,2024-12-12,101125.000000,102540.000000,99311.640000,100004.290000,107919.000000,94331.000000,False,False,,HOLD,,,-20.319006,96945.630000,1987766.396525,-62148.932009,1925617.464516
1808,2024-12-13,100004.290000,101895.260000,99205.000000,101424.250000,106798.290000,93210.290000,False,False,,HOLD,,,-20.319006,96945.630000,1987766.396525,-91001.108287,1896765.288238
1809,2024-12-14,101424.240000,102650.000000,100609.410000,101420.000000,108218.240000,94630.240000,False,False,,HOLD,,,-20.319006,96945.630000,1987766.396525,-90914.752510,1896851.644015
1810,2024-12-15,101420.000000,105250.000000,101237.140000,104463.990000,108214.000000,94626.000000,False,False,,HOLD,,,-20.319006,96945.630000,1987766.396525,-152765.604696,1835000.791830
1811,2024-12-16,104463.990000,107793.070000,103333.000000,106058.660000,111838.990000,97088.990000,False,False,,STOP_LOSS,106974.054106,Stop loss triggered,0.000000,0.000000,1781825.176805,0.000000,1781825.176805
1812,2024-12-17,106058.650000,108353.000000,105321.490000,106133.740000,114705.185000,97412.115000,False,False,,HOLD,,,0.000000,0.000000,1781825.176805,0.000000,1781825.176805
1813,2024-12-18,106133.740000,106524.980000,100000.000000,100204.010000,115060.240000,97207.240000,False,False,,HOLD,,,0.000000,0.000000,1781825.176805,0.000000,1781825.176805
1814,2024-12-19,100204.010000,102800.110000,95700.000000,97461.860000,109130.510000,91277.510000,False,False,,HOLD,,,0.000000,0.000000,1781825.176805,0.000000,1781825.176805
1815,2024-12-20,97461.860000,98233.000000,92232.540000,97805.440000,106388.360000,88535.360000,False,False,,HOLD,,,0.000000,0.000000,1781825.176805,0.000000,1781825.176805
1816,2024-12-21,97805.440000,99540.610000,96398.390000,97291.990000,106731.940000,88878.940000,False,False,,HOLD,,,0.000000,0.000000,1781825.176805,0.000000,1781825.176805
1817,2024-12-22,97292.000000,97448.080000,94250.350000,95186.270000,106218.500000,88365.500000,False,False,,HOLD,,,0.000000,0.000000,1781825.176805,0.000000,1781825.176805
1818,2024-12-23,95186.280000,96538.920000,92520.000000,94881.470000,104112.780000,86259.780000,False,False,,HOLD,,,0.000000,0.000000,1781825.176805,0.000000,1781825.176805
1819,2024-12-24,94881.470000,99487.990000,93569.020000,98663.580000,103807.970000,85954.970000,False,False,,HOLD,,,0.000000,0.000000,1781825.176805,0.000000,1781825.176805
1820,2024-12-25,98663.580000,99569.150000,97632.020000,99429.600000,107590.080000,89737.080000,False,False,,HOLD,,,0.000000,0.000000,1781825.176805,0.000000,1781825.176805
