datetime,open,high,low,close,volume
03/03/2021,48501.21,52625.39,48176.64,50392.55,51572.27
03/04/2021,50392.55,51792.65,47516.91,48363.74,61387.71
03/05/2021,48363.74,49467.19,46311.43,48775.37,60955.82
03/06/2021,48775.37,49185.32,47099.07,48892.8,25116.42
03/07/2021,48892.8,51455.54,48892.8,50964.18,32958.26
03/08/2021,50964.18,52408.08,49341.09,52405.02,48084.28
03/09/2021,52405.02,54933.93,51888.98,54928.7,53740.22
03/10/2021,54928.7,57396.59,53054.34,55893.31,70138.56
03/11/2021,55893.31,58142.77,54314.65,57809.41,59202.98
03/12/2021,57809.41,58069.58,55089.68,57256.22,54282.31
03/13/2021,57256.22,61749.15,56103.32,61179.79,57862.75
03/14/2021,61179.79,61674.66,58980.95,58998.89,34886.85
03/15/2021,58998.89,60589.17,54857.68,55665.01,75161.15
03/16/2021,55665.01,56936.04,53269.13,56925.01,62540.93
03/17/2021,56925.01,58975.28,54156.11,58909.0,62035.71
03/18/2021,58909.0,60077.79,57022.2,57643.32,54289.71
03/19/2021,57643.32,59453.32,56283.37,58060.21,41182.41
03/20/2021,58060.21,59911.7,57837.79,58101.34,28696.46
03/21/2021,58101.34,58621.34,55635.61,57374.95,34236.52
03/22/2021,57374.95,58431.44,53795.78,54095.36,51098.9
03/23/2021,54095.36,55836.27,52984.36,54355.45,44780.24
03/24/2021,54355.45,57202.53,51685.15,52303.02,62596.16
03/25/2021,52303.02,53199.52,50406.31,51336.09,69776.36
03/26/2021,51336.09,55083.9,51275.54,55055.43,46165.63
03/27/2021,55055.43,56606.78,53991.0,55863.73,27392.29
03/28/2021,55863.73,56561.55,54717.97,55781.01,24145.77
03/29/2021,55781.01,58413.9,54910.57,57626.1,51547.9
03/30/2021,57626.1,59402.27,57055.21,58781.54,35315.45
03/31/2021,58781.54,59818.5,56918.81,58793.8,46494.48
04/01/2021,58793.8,59469.45,57949.11,58730.82,28027.66
04/02/2021,58730.82,60061.51,58458.46,58987.8,29748.03
04/03/2021,58987.8,59770.87,56958.04,57074.97,25104.9
04/04/2021,57074.97,58493.73,56493.38,58219.43,19002.99
04/05/2021,58219.43,59235.68,56833.44,59119.56,24696.26
04/06/2021,59119.56,59464.31,57369.44,58010.35,26304.15
04/07/2021,58010.35,58628.19,55467.58,55951.98,50347.59
04/08/2021,55951.98,58150.23,55711.07,58084.46,25461.84
04/09/2021,58084.46,58881.94,57694.22,58106.85,21314.29
04/10/2021,58106.85,61193.5,57885.43,59784.8,38726.18
04/11/2021,59784.8,60673.37,59218.25,59980.45,20365.62
04/12/2021,59980.45,61233.29,59421.37,59845.76,31804.9
04/13/2021,59845.76,63682.32,59811.31,63558.48,52964.84
04/14/2021,63558.48,64859.81,61312.98,62964.27,64272.96
04/15/2021,62964.27,63826.89,62038.33,63233.03,34089.46
04/16/2021,63233.03,63567.11,60048.13,61416.41,57540.3
04/17/2021,61416.41,62541.21,59712.92,60056.07,34261.66
04/18/2021,60056.07,60393.33,52785.1,56246.82,112545.94
04/19/2021,56246.82,57590.64,54291.08,55680.11,48650.49
04/20/2021,55680.11,57101.05,53429.73,56496.06,55866.75
04/21/2021,56496.06,56801.94,53640.81,53803.25,41813.35
04/22/2021,53803.25,55458.61,50519.78,51717.61,84222.11
04/23/2021,51717.61,52112.75,47495.24,51178.03,105510.21
04/24/2021,51178.03,51223.86,48769.48,50115.99,33894.94
04/25/2021,50115.99,50576.4,47073.07,49120.97,44241.37
04/26/2021,49120.97,54389.71,48843.41,54062.29,61603.5
04/27/2021,54062.29,55490.94,53357.59,55073.48,40602.56
04/28/2021,55073.48,56461.55,53886.63,54877.94,42647.15
04/29/2021,54877.94,55217.24,52399.42,53581.58,43948.76
04/30/2021,53581.58,57984.34,53089.93,57757.97,48771.0
05/01/2021,57757.97,58498.65,57057.4,57843.16,26146.3
05/02/2021,57843.16,57934.82,56092.72,56623.51,21671.56
05/03/2021,56623.51,58963.84,56531.6,57195.07,41015.04
05/04/2021,57195.07,57226.81,53108.04,53244.07,64556.47
05/05/2021,53244.07,57944.11,52978.89,57506.88,56998.25
05/06/2021,57506.88,58392.76,55299.4,56441.94,50632.92
05/07/2021,56441.94,58695.29,55311.16,57374.33,42812.69
05/08/2021,57374.33,59521.69,56985.44,58943.13,37728.82
05/09/2021,58943.13,59276.99,56350.98,58294.18,45716.87
05/10/2021,58294.18,59587.03,54239.16,55870.01,71168.05
05/11/2021,55870.01,56928.37,54490.38,56747.52,42949.94
05/12/2021,56747.52,58005.44,49182.89,49504.08,74345.74
05/13/2021,49504.08,51377.99,47029.73,49700.6,119769.29
05/14/2021,49700.6,51554.66,48910.06,49887.96,42891.66
05/15/2021,49887.96,50710.05,46606.18,46775.29,53332.47
05/16/2021,46775.29,49808.83,43918.69,46490.71,79337.9
05/17/2021,46490.71,46665.19,42130.83,43552.14,134127.17
05/18/2021,43552.14,45819.36,42309.39,42886.02,71930.7
05/19/2021,42886.02,43564.34,29925.2,36771.87,290986.06
05/20/2021,36771.87,42520.03,35009.25,40597.4,139648.53
05/21/2021,40597.4,42252.07,33552.8,37350.39,120589.87
05/22/2021,37350.39,38841.92,35287.71,37491.5,74964.98
05/23/2021,37491.5,38304.55,31157.18,34716.84,131584.71
05/24/2021,34716.84,39945.35,34467.32,38837.76,106765.14
05/25/2021,38837.76,39842.9,36509.09,38387.36,66530.67
05/26/2021,38387.36,40854.81,37855.81,39295.08,66483.59
05/27/2021,39295.08,40408.95,37211.84,38538.84,46474.62
05/28/2021,38538.84,38879.6,34733.76,35680.92,85345.66
05/29/2021,35680.92,37307.1,33666.06,34611.58,60616.25
05/30/2021,34611.58,36481.62,33400.65,35662.59,37522.16
05/31/2021,35662.59,37512.8,34202.86,37290.83,50306.62
06/01/2021,37290.83,37910.19,35733.52,36683.51,44444.78
06/02/2021,36683.51,38225.18,35935.34,37576.98,39948.44
06/03/2021,37576.98,39482.46,37199.92,39229.66,41098.93
06/04/2021,39229.66,39273.49,35617.03,36861.5,49661.48
06/05/2021,36861.5,37911.76,34846.16,35538.4,39864.17
06/06/2021,35538.4,36453.81,35264.34,35798.57,27469.69
06/07/2021,35798.57,36790.39,33367.12,33582.86,52209.55
06/08/2021,33582.86,34061.09,31034.35,33409.38,88483.79
