trade_id,bar_index,date,action,execution_price,position_size,pnl,commission,net_pnl,equity_after,reason
58,1469,2024-01-09,CLOSE_SHORT,46951.040000,47.449851,-194820.074572,2227.819873,-197047.894446,1854454.255998,Reverse to Long
59,1469,2024-01-09,LONG,46951.040000,39.102642,0.000000,1835.909713,-1835.909713,1852618.346284,Long Entry
60,1473,2024-01-13,CLOSE_LONG,42782.740000,39.102642,-162991.543074,1672.918170,-164664.461244,1687953.885040,Reverse to Short
61,1473,2024-01-13,SHORT,42782.740000,39.059545,0.000000,1671.074346,-1671.074346,1686282.810694,Short Entry
62,1500,2024-02-09,CLOSE_SHORT,46509.809096,39.059545,-145577.622011,1816.651968,-147394.273979,1538888.536715,SL Short
63,1520,2024-02-29,LONG,62432.110000,24.402501,0.000000,1523.499651,-1523.499651,1537365.037064,Long Entry
64,1564,2024-04-13,CLOSE_LONG,67116.520000,24.402501,114311.321558,1637.810973,112673.510585,1650038.547649,Reverse to Short
65,1564,2024-04-13,SHORT,67116.520000,24.338839,0.000000,1633.538162,-1633.538162,1648405.009487,Short Entry
66,1597,2024-05-16,CLOSE_SHORT,66206.510000,24.338839,22148.586711,1611.389575,20537.197136,1668942.206622,Reverse to Long
67,1597,2024-05-16,LONG,66206.510000,24.956047,0.000000,1652.252785,-1652.252785,1667289.953838,Long Entry
68,1624,2024-06-12,CLOSE_LONG,67314.230000,24.956047,27644.312538,1679.897097,25964.415441,1693254.369279,Reverse to Short
69,1624,2024-06-12,SHORT,67314.230000,24.902934,0.000000,1676.321826,-1676.321826,1691578.047453,Short Entry
70,1763,2024-10-29,CLOSE_SHORT,72636.260975,24.902934,-132534.186003,1808.856012,-134343.042014,1557235.005439,SL Short
71,1772,2024-11-07,LONG,75571.990000,20.399921,0.000000,1541.662655,-1541.662655,1555693.342784,Long Entry
72,1801,2024-12-06,CLOSE_LONG,96945.630000,20.399921,436020.575846,1977.683231,434042.892615,1989736.235398,Reverse to Short
73,1801,2024-12-06,SHORT,96945.630000,20.319006,0.000000,1969.838873,-1969.838873,1987766.396525,Short Entry
74,1811,2024-12-16,CLOSE_SHORT,106974.054106,20.319006,-203767.613234,2173.606486,-205941.219720,1781825.176805,SL Short
75,1882,2025-02-25,SHORT,91552.880000,19.267629,0.000000,1764.006925,-1764.006925,1780061.169880,Short Entry
76,1926,2025-04-10,CLOSE_SHORT,82615.220000,19.267629,172207.516941,1591.799408,170615.717533,1950676.887413,Reverse to Long
77,1926,2025-04-10,LONG,82615.220000,23.375476,0.000000,1931.170119,-1931.170119,1948745.717295,Long Entry
78,2053,2025-08-15,CLOSE_LONG,118295.090000,23.375476,834033.956181,2765.204075,831268.752106,2780014.469401,Reverse to Short
79,2053,2025-08-15,SHORT,118295.090000,23.265668,0.000000,2752.214325,-2752.214325,2777262.255076,Short Entry
80,2057,2025-08-19,CLOSE_SHORT,113465.790000,23.265668,112356.891891,2639.857433,109717.034458,2886979.289534,End of backtest
