trade_id,bar_index,date,action,execution_price,position_size,pnl,commission,net_pnl,equity_after,reason
71,347,2015-12-14,SHORT,389.430000,8.876754,0.000000,3.456874,-3.456874,3488.335269,Short Entry
72,376,2016-01-12,CLOSE_SHORT,456.110606,8.876754,-591.907317,4.048782,-595.956099,2892.379170,SL Short
73,386,2016-01-22,SHORT,432.120000,6.626528,0.000000,2.863455,-2.863455,2889.515715,Short Entry
74,388,2016-01-24,CLOSE_SHORT,452.620000,6.626528,-135.843829,2.999299,-138.843128,2750.672587,Reverse to Long
75,388,2016-01-24,LONG,452.620000,6.016451,0.000000,2.723166,-2.723166,2747.949421,Long Entry
76,389,2016-01-25,CLOSE_LONG,431.430000,6.016451,-127.488588,2.595677,-130.084265,2617.865156,Reverse to Short
77,389,2016-01-25,SHORT,431.430000,6.007200,0.000000,2.591687,-2.591687,2615.273469,Short Entry
78,397,2016-02-02,CLOSE_SHORT,455.020000,6.007200,-141.709859,2.733396,-144.443256,2470.830213,Reverse to Long
79,397,2016-02-02,LONG,455.020000,5.375856,0.000000,2.446122,-2.446122,2468.384092,Long Entry
80,403,2016-02-08,CLOSE_LONG,442.610000,5.375856,-66.714371,2.379408,-69.093778,2399.290313,Reverse to Short
81,403,2016-02-08,SHORT,442.610000,5.366570,0.000000,2.375297,-2.375297,2396.915016,Short Entry
82,418,2016-02-23,CLOSE_SHORT,464.040000,5.366570,-115.005588,2.490303,-117.495891,2279.419125,Reverse to Long
83,418,2016-02-23,LONG,464.040000,4.862997,0.000000,2.256625,-2.256625,2277.162500,Long Entry
84,439,2016-03-15,CLOSE_LONG,461.950000,4.862997,-10.163663,2.246461,-12.410124,2264.752375,Reverse to Short
85,439,2016-03-15,SHORT,461.950000,4.853566,0.000000,2.242105,-2.242105,2262.510271,Short Entry
86,464,2016-04-09,CLOSE_SHORT,509.340000,4.853566,-230.010497,2.472115,-232.482612,2030.027659,Reverse to Long
87,464,2016-04-09,LONG,509.340000,3.945748,0.000000,2.009727,-2.009727,2028.017931,Long Entry
88,486,2016-05-01,CLOSE_LONG,504.100000,3.945748,-20.675721,1.989052,-22.664772,2005.353159,Reverse to Short
89,486,2016-05-01,SHORT,504.100000,3.938305,0.000000,1.985300,-1.985300,2003.367859,Short Entry
90,491,2016-05-06,CLOSE_SHORT,524.970000,3.938305,-82.192429,2.067492,-84.259921,1919.107939,Reverse to Long
91,491,2016-05-06,LONG,524.970000,3.619096,0.000000,1.899917,-1.899917,1917.208022,Long Entry
92,501,2016-05-16,CLOSE_LONG,519.130000,3.619096,-21.135521,1.878781,-23.014302,1894.193720,Reverse to Short
93,501,2016-05-16,SHORT,519.130000,3.612297,0.000000,1.875252,-1.875252,1892.318468,Short Entry
94,540,2016-06-24,CLOSE_SHORT,582.640000,3.612297,-229.416987,2.104669,-231.521656,1660.796812,Reverse to Long
95,540,2016-06-24,LONG,582.640000,2.821964,0.000000,1.644189,-1.644189,1659.152623,Long Entry
96,567,2016-07-21,CLOSE_LONG,612.430000,2.821964,84.066294,1.728255,82.338039,1741.490662,Reverse to Short
97,567,2016-07-21,SHORT,612.430000,2.815139,0.000000,1.724076,-1.724076,1739.766586,Short Entry
98,572,2016-07-26,CLOSE_SHORT,672.290000,2.815139,-168.514238,1.892590,-170.406828,1569.359758,Reverse to Long
99,572,2016-07-26,LONG,672.290000,2.311006,0.000000,1.553666,-1.553666,1567.806092,Long Entry
100,622,2016-09-14,CLOSE_LONG,729.140000,2.311006,131.380686,1.685047,129.695639,1697.501731,Reverse to Short
101,622,2016-09-14,SHORT,729.140000,2.304807,0.000000,1.680527,-1.680527,1695.821204,Short Entry
102,630,2016-09-22,CLOSE_SHORT,769.770000,2.304807,-93.644294,1.774171,-95.418465,1600.402739,Reverse to Long
103,630,2016-09-22,LONG,769.770000,2.058275,0.000000,1.584399,-1.584399,1598.818341,Long Entry
104,636,2016-09-28,CLOSE_LONG,740.330000,2.058275,-60.595630,1.523803,-62.119433,1536.698908,Reverse to Short
105,636,2016-09-28,SHORT,740.330000,2.054938,0.000000,1.521332,-1.521332,1535.177576,Short Entry
106,637,2016-09-29,CLOSE_SHORT,776.550000,2.054938,-74.429838,1.595762,-76.025600,1459.151976,Reverse to Long
107,637,2016-09-29,LONG,776.550000,1.860229,0.000000,1.444560,-1.444560,1457.707415,Long Entry
108,649,2016-10-11,CLOSE_LONG,760.810000,1.860229,-29.279997,1.415280,-30.695277,1427.012138,Reverse to Short
109,649,2016-10-11,SHORT,760.810000,1.856892,0.000000,1.412742,-1.412742,1425.599396,Short Entry
110,662,2016-10-24,CLOSE_SHORT,843.930000,1.856892,-154.344865,1.567087,-155.911951,1269.687445,Reverse to Long
111,662,2016-10-24,LONG,843.930000,1.489449,0.000000,1.256991,-1.256991,1268.430454,Long Entry
112,692,2016-11-23,CLOSE_LONG,850.820000,1.489449,10.262303,1.267253,8.995050,1277.425504,Reverse to Short
113,692,2016-11-23,SHORT,850.820000,1.486391,0.000000,1.264651,-1.264651,1276.160852,Short Entry
114,700,2016-12-01,CLOSE_SHORT,900.020000,1.486391,-73.130441,1.337782,-74.468222,1201.692630,Reverse to Long
115,700,2016-12-01,LONG,900.020000,1.321833,0.000000,1.189676,-1.189676,1200.502955,Long Entry
116,702,2016-12-03,CLOSE_LONG,888.650000,1.321833,-15.029236,1.174646,-16.203882,1184.299072,Reverse to Short
117,702,2016-12-03,SHORT,888.650000,1.319368,0.000000,1.172456,-1.172456,1183.126616,Short Entry
118,721,2016-12-22,CLOSE_SHORT,934.930000,1.319368,-61.060336,1.233516,-62.293852,1120.832764,Reverse to Long
119,721,2016-12-22,LONG,934.930000,1.186853,0.000000,1.109624,-1.109624,1119.723140,Long Entry
120,842,2017-04-22,CLOSE_LONG,1966.510000,1.186853,1224.333775,2.333958,1221.999817,2341.722956,Reverse to Short
121,842,2017-04-22,SHORT,1966.510000,1.178893,0.000000,2.318306,-2.318306,2339.404650,Short Entry
122,859,2017-05-09,CLOSE_SHORT,2323.958800,1.178893,-421.394043,2.739700,-424.133743,1915.270908,SL Short
123,867,2017-05-17,SHORT,2228.960000,0.850674,0.000000,1.896118,-1.896118,1913.374790,Short Entry
124,868,2017-05-18,CLOSE_SHORT,2441.200000,0.850674,-180.547038,2.076665,-182.623704,1730.751086,Reverse to Long
125,868,2017-05-18,LONG,2441.200000,0.701886,0.000000,1.713444,-1.713444,1729.037642,Long Entry
126,893,2017-06-12,CLOSE_LONG,2629.860000,0.701886,132.417772,1.845861,130.571911,1859.609553,Reverse to Short
127,893,2017-06-12,SHORT,2629.860000,0.700042,0.000000,1.841013,-1.841013,1857.768540,Short Entry
128,906,2017-06-25,CLOSE_SHORT,3067.634610,0.700042,-306.460781,2.147474,-308.608255,1549.160284,SL Short
129,923,2017-07-12,LONG,3364.660000,0.455817,0.000000,1.533669,-1.533669,1547.626616,Long Entry
130,928,2017-07-17,CLOSE_LONG,3140.980000,0.455817,-101.957110,1.431712,-103.388822,1444.237794,Reverse to Short
131,928,2017-07-17,SHORT,3140.980000,0.455207,0.000000,1.429795,-1.429795,1442.807998,Short Entry
132,929,2017-07-18,CLOSE_SHORT,3514.920000,0.455207,-170.220026,1.600015,-171.820042,1270.987957,Reverse to Long
133,929,2017-07-18,LONG,3514.920000,0.357982,0.000000,1.258278,-1.258278,1269.729679,Long Entry
134,936,2017-07-25,CLOSE_LONG,3418.320000,0.357982,-34.581061,1.223697,-35.804758,1233.924921,Reverse to Short
135,936,2017-07-25,SHORT,3418.320000,0.357364,0.000000,1.221586,-1.221586,1232.703335,Short Entry
136,956,2017-08-14,CLOSE_SHORT,4034.753816,0.357364,-220.291464,1.441877,-221.733341,1010.969994,SL Short
137,965,2017-08-23,SHORT,4040.000000,0.247738,0.000000,1.000860,-1.000860,1009.969134,Short Entry
138,973,2017-08-31,CLOSE_SHORT,4694.370562,0.247738,-162.112256,1.162973,-163.275228,846.693906,SL Short
139,988,2017-09-15,SHORT,3188.010000,0.262931,0.000000,0.838227,-0.838227,845.855679,Short Entry
140,1000,2017-09-27,CLOSE_SHORT,4065.699889,0.262931,-230.771965,1.068999,-231.840964,614.014714,SL Short
141,1072,2017-12-08,LONG,16599.000000,0.036621,0.000000,0.607875,-0.607875,613.406840,Long Entry
142,1073,2017-12-09,CLOSE_LONG,13044.766465,0.036621,-130.160141,0.477714,-130.637855,482.768985,SL Long
143,1107,2018-01-12,SHORT,13238.760000,0.036102,0.000000,0.477941,-0.477941,482.291044,Short Entry
144,1294,2018-07-18,CLOSE_SHORT,7317.440000,0.036102,213.769518,0.264172,213.505347,695.796390,Reverse to Long
145,1294,2018-07-18,LONG,7317.440000,0.094137,0.000000,0.688838,-0.688838,695.107552,Long Entry
146,1315,2018-08-08,CLOSE_LONG,6364.753636,0.094137,-89.682591,0.599156,-90.281746,604.825805,SL Long
147,1344,2018-09-06,SHORT,6697.270000,0.089406,0.000000,0.598778,-0.598778,604.227028,Short Entry
148,1383,2018-10-15,CLOSE_SHORT,7353.463471,0.089406,-58.667773,0.657445,-59.325219,544.901809,SL Short
149,1384,2018-10-16,LONG,6752.500000,0.079889,0.000000,0.539453,-0.539453,544.362357,Long Entry
150,1397,2018-10-29,CLOSE_LONG,6336.300391,0.079889,-33.249913,0.506203,-33.756116,510.606240,SL Long
151,1414,2018-11-15,SHORT,5917.200000,0.085429,0.000000,0.505500,-0.505500,510.100740,Short Entry
152,1500,2019-02-09,CLOSE_SHORT,3660.270000,0.085429,192.807158,0.312693,192.494465,702.595205,Reverse to Long
153,1500,2019-02-09,LONG,3660.270000,0.190032,0.000000,0.695569,-0.695569,701.899636,Long Entry
154,1516,2019-02-25,CLOSE_LONG,3743.560000,0.190032,15.827784,0.711397,15.116387,717.016023,Reverse to Short
155,1516,2019-02-25,SHORT,3743.560000,0.189618,0.000000,0.709846,-0.709846,716.306177,Short Entry
156,1535,2019-03-16,CLOSE_SHORT,4015.610846,0.189618,-51.585701,0.761432,-52.347133,663.959044,SL Short
157,1553,2019-04-03,LONG,4857.190000,0.135329,0.000000,0.657319,-0.657319,663.301725,Long Entry
158,1728,2019-09-25,CLOSE_LONG,8497.550000,0.135329,492.646869,1.149966,491.496903,1154.798628,Reverse to Short
159,1728,2019-09-25,SHORT,8497.550000,0.134539,0.000000,1.143251,-1.143251,1153.655377,Short Entry
160,1759,2019-10-26,CLOSE_SHORT,8655.880000,0.134539,-21.301537,1.164552,-22.466089,1131.189288,Reverse to Long
161,1759,2019-10-26,LONG,8655.880000,0.129378,0.000000,1.119877,-1.119877,1130.069411,Long Entry
162,1785,2019-11-21,CLOSE_LONG,7741.785674,0.129378,-118.263374,1.001614,-119.264988,1010.804423,SL Long
163,1813,2019-12-19,LONG,7277.830000,0.137499,0.000000,1.000696,-1.000696,1009.803727,Long Entry
164,1876,2020-02-20,CLOSE_LONG,9594.650000,0.137499,318.561080,1.319257,317.241822,1327.045549,Reverse to Short
165,1876,2020-02-20,SHORT,9594.650000,0.136928,0.000000,1.313775,-1.313775,1325.731774,Short Entry
166,1940,2020-04-24,CLOSE_SHORT,7483.960000,0.136928,289.012309,1.024763,287.987546,1613.719320,Reverse to Long
167,1940,2020-04-24,LONG,7483.960000,0.213467,0.000000,1.597582,-1.597582,1612.121738,Long Entry
168,1980,2020-06-03,CLOSE_LONG,9518.020000,0.213467,434.205675,2.031788,432.173887,2044.295625,Reverse to Short
169,1980,2020-06-03,SHORT,9518.020000,0.212634,0.000000,2.023853,-2.023853,2042.271772,Short Entry
170,2033,2020-07-26,CLOSE_SHORT,10081.717346,0.212634,-119.861103,2.143714,-122.004817,1920.266956,SL Short
171,2034,2020-07-27,LONG,9931.540000,0.191417,0.000000,1.901064,-1.901064,1918.365891,Long Entry
172,2072,2020-09-03,CLOSE_LONG,11388.540000,0.191417,278.894377,2.179959,276.714419,2195.080310,Reverse to Short
173,2072,2020-09-03,SHORT,11388.540000,0.190817,0.000000,2.173130,-2.173130,2192.907180,Short Entry
174,2120,2020-10-21,CLOSE_SHORT,12350.790875,0.190817,-183.614034,2.356744,-185.970777,2006.936403,SL Short
175,2121,2020-10-22,LONG,12780.750000,0.155458,0.000000,1.986867,-1.986867,2004.949536,Long Entry
176,2300,2021-04-19,CLOSE_LONG,56150.010000,0.155458,6742.088938,8.728956,6733.359982,8738.309518,Reverse to Short
177,2300,2021-04-19,SHORT,56150.010000,0.154068,0.000000,8.650926,-8.650926,8729.658592,Short Entry
178,2399,2021-07-27,CLOSE_SHORT,37241.330000,0.154068,2913.224761,5.737702,2907.487059,11637.145651,Reverse to Long
179,2399,2021-07-27,LONG,37241.330000,0.309355,0.000000,11.520774,-11.520774,11625.624877,Long Entry
180,2442,2021-09-08,CLOSE_LONG,46868.570000,0.309355,2978.230320,14.499005,2963.731315,14589.356192,Reverse to Short
181,2442,2021-09-08,SHORT,46868.570000,0.308169,0.000000,14.443463,-14.443463,14574.912729,Short Entry
182,2466,2021-10-02,CLOSE_SHORT,48141.600000,0.308169,-392.308987,14.835772,-407.144759,14167.767971,Reverse to Long
183,2466,2021-10-02,LONG,48141.600000,0.291351,0.000000,14.026090,-14.026090,14153.741880,Long Entry
184,2530,2021-12-05,CLOSE_LONG,49152.460000,0.291351,294.514799,14.320605,280.194194,14433.936074,Reverse to Short
185,2530,2021-12-05,SHORT,49152.460000,0.290720,0.000000,14.289597,-14.289597,14419.646477,Short Entry
186,2616,2022-03-01,CLOSE_SHORT,43160.000000,0.290720,1742.127184,12.547470,1729.579714,16149.226191,Reverse to Long
187,2616,2022-03-01,LONG,43160.000000,0.370429,0.000000,15.987734,-15.987734,16133.238457,Long Entry
