bar_index,date,open,high,low,close,upper_boundary,lower_boundary,go_long_signal,go_short_signal,pending_signal,action_executed,execution_price,reason,position_size,position_avg_price,equity,unrealized_pnl,total_equity
1054,2017-11-20,8039.069824,8336.860352,7949.359863,8200.639648,9330.520020,6747.619629,False,False,,HOLD,,,0.000000,0.000000,167430.266325,0.000000,167430.266325
1055,2017-11-21,8205.740234,8348.660156,7762.709961,8071.259766,9614.665527,6796.814941,False,False,,HOLD,,,0.000000,0.000000,167430.266325,0.000000,167430.266325
1056,2017-11-22,8077.950195,8302.259766,8075.470215,8253.549805,9492.775391,6663.125000,False,False,,HOLD,,,0.000000,0.000000,167430.266325,0.000000,167430.266325
1057,2017-11-23,8232.379883,8267.400391,8038.770020,8038.770020,9647.205078,6817.554688,False,False,,HOLD,,,0.000000,0.000000,167430.266325,0.000000,167430.266325
1058,2017-11-24,8074.020020,8374.160156,7940.930176,8253.690430,9488.845215,6659.194824,False,False,,HOLD,,,0.000000,0.000000,167430.266325,0.000000,167430.266325
1059,2017-11-25,8241.709961,8790.919922,8191.149902,8790.919922,9669.285156,6814.134766,False,False,,HOLD,,,0.000000,0.000000,167430.266325,0.000000,167430.266325
1060,2017-11-26,8789.040039,9522.929688,8775.589844,9330.549805,10424.995117,7153.084961,False,False,,HOLD,,,0.000000,0.000000,167430.266325,0.000000,167430.266325
1061,2017-11-27,9352.719727,9818.349609,9352.719727,9818.349609,11354.679688,7350.759766,False,False,,HOLD,,,0.000000,0.000000,167430.266325,0.000000,167430.266325
1062,2017-11-28,9823.429688,10125.700195,9736.299805,10058.799805,11973.099609,7673.759766,False,False,,HOLD,,,0.000000,0.000000,167430.266325,0.000000,167430.266325
1063,2017-11-29,10077.400391,11517.400391,9601.030273,9888.610352,12380.745605,7774.055176,False,False,,HOLD,,,0.000000,0.000000,167430.266325,0.000000,167430.266325
1064,2017-11-30,9906.790039,10801.000000,9202.049805,10233.599609,12905.985352,6907.594727,False,False,,HOLD,,,0.000000,0.000000,167430.266325,0.000000,167430.266325
1065,2017-12-01,10198.599609,11046.700195,9694.650391,10975.599609,13197.794922,7199.404297,False,False,,HOLD,,,0.000000,0.000000,167430.266325,0.000000,167430.266325
1066,2017-12-02,10978.299805,11320.200195,10905.099609,11074.599609,13977.495117,7979.104492,False,False,,HOLD,,,0.000000,0.000000,167430.266325,0.000000,167430.266325
1067,2017-12-03,11082.700195,11858.700195,10862.000000,11323.200195,13919.255371,8246.145020,False,False,,HOLD,,,0.000000,0.000000,167430.266325,0.000000,167430.266325
1068,2017-12-04,11315.400391,11657.200195,11081.799805,11657.200195,14013.875488,8616.925293,False,False,,HOLD,,,0.000000,0.000000,167430.266325,0.000000,167430.266325
1069,2017-12-05,11685.700195,12032.000000,11604.599609,11916.700195,14297.670410,9073.729980,False,False,,HOLD,,,0.000000,0.000000,167430.266325,0.000000,167430.266325
1070,2017-12-06,11923.400391,14369.099609,11923.400391,14291.500000,14351.110352,9495.690430,True,False,LONG,HOLD,,,0.000000,0.000000,167430.266325,0.000000,167430.266325
1071,2017-12-07,14266.099609,17899.699219,14057.299805,17899.699219,17718.929443,10813.269775,True,False,,LONG_ENTRY,14266.099609,Long Entry,11.618870,14266.099609,167264.510361,42218.323249,209482.833610
1072,2017-12-08,17802.900391,18353.400391,14336.900391,16569.400391,23021.030029,12584.770752,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,26761.753461,194026.263822
1073,2017-12-09,16523.300781,16783.000000,13674.900391,15178.200195,21852.950928,11193.650635,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,10597.578576,177862.088937
1074,2017-12-10,15168.400391,15850.599609,13226.599609,15455.400391,20463.745605,9873.055176,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,13818.331743,181082.842104
1075,2017-12-11,15427.400391,17513.900391,15404.799805,16936.800781,20722.745605,10132.055176,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,31030.531015,198295.041376
1076,2017-12-12,16919.800781,17781.800781,16571.599609,17415.400391,22126.035889,11713.565674,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,36591.317890,203855.828251
1077,2017-12-13,17500.000000,17653.099609,16039.700195,16408.199219,22706.235107,12293.764893,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,24888.777923,192153.288284
1078,2017-12-14,16384.599609,17085.800781,16185.900391,16564.000000,21590.834717,11178.364502,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,26699.007022,193963.517383
1079,2017-12-15,16601.300781,18154.099609,16601.300781,17706.900391,21682.426025,11520.175537,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,39978.218636,207242.728997
1080,2017-12-16,17760.300781,19716.699219,17515.300781,19497.400391,22549.206055,12971.395508,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,60781.806236,228046.316597
1081,2017-12-17,19475.800781,20089.000000,18974.099609,19140.800781,24733.125488,14218.476074,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,56638.521560,223903.031921
1082,2017-12-18,19106.400391,19371.000000,18355.900391,19114.199219,24549.875488,13662.925293,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,56329.441451,223593.951812
1083,2017-12-19,19118.300781,19177.800781,17275.400391,17776.699219,24561.775879,13674.825684,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,40789.202180,208053.712541
1084,2017-12-20,17760.300781,17934.699219,16077.700195,16624.599609,23203.775879,12316.825684,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,27403.106035,194667.616396
1085,2017-12-21,16642.400391,17567.699219,15342.700195,15802.900391,21839.575195,11445.225586,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,17855.889236,185120.399597
1086,2017-12-22,15898.000000,15943.400391,11833.000000,13831.799805,20511.500000,11284.500000,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,-5046.073182,162218.437179
1087,2017-12-23,13948.700195,15603.200195,13828.799805,14699.200195,18562.200195,9335.200195,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,5032.139614,172296.649975
1088,2017-12-24,14608.200195,14626.000000,12747.700195,13925.799805,19111.800293,10104.600098,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,-3953.899356,163310.611005
1089,2017-12-25,13995.900391,14593.000000,13448.900391,14026.599609,18238.100586,9753.700195,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,-2782.719481,164481.790880
1090,2017-12-26,14036.599609,16461.199219,14028.900391,16099.799805,18164.599609,9908.599609,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,21305.525074,188570.035435
1091,2017-12-27,16163.500000,16930.900391,15114.299805,15838.500000,20291.500000,12035.500000,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,18269.516486,185534.026847
1092,2017-12-28,15864.099609,15888.400391,13937.299805,14606.500000,19992.099609,11736.099609,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,3955.068051,171219.578412
1093,2017-12-29,14695.799805,15279.000000,14307.000000,14656.200195,18823.799805,10567.799805,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,4532.528183,171797.038544
1094,2017-12-30,14681.900391,14681.900391,12350.099609,12952.200195,18809.900391,10553.900391,False,False,,HOLD,,,11.618870,14266.099609,167264.510361,-15266.027120,151998.483241
