date,action,price,size,commission,equity,comment,pnl,net_pnl
2018-11-14,ENTRY_SHORT,5738.35009765625,20.526707814562467,117.78943579225584,118861.43863719345,Short,,
2019-02-08,CLOSE_Short,3666.7802734375,20.526707814562467,75.26692729305303,161308.68020910322,Reverse to Long,42522.50849920281,42447.24157190976
2019-02-08,ENTRY_LONG,3666.7802734375,43.55199425606765,159.69559340701218,161148.98461569622,Long,,
2019-09-24,CLOSE_Long,8620.56640625,43.55199425606765,375.4428586090498,376520.80695912475,Reverse to Short,215747.26520203758,215371.82234342853
2019-09-24,ENTRY_SHORT,8620.56640625,43.24026767188776,372.7555988895335,376148.0513602352,Short,,
2019-10-25,CLOSE_Short,8660.7001953125,43.24026767188776,374.4909946712831,374038.16458381433,Reverse to Long,-1735.3957817495811,-2109.8867764208644
2019-10-25,ENTRY_LONG,8660.7001953125,42.756102230440376,370.2977829379762,373667.86680087633,Long,,
2019-11-21,CLOSE_LONG,7942.452771879483,42.756102230440376,339.58832267492375,342618.81821514893,Stop Loss: SL Long,-30709.460263052453,-31049.048585727378
2019-12-18,ENTRY_LONG,7276.802734375,46.61286589928846,339.19263003299744,342279.6255851159,Long,,
2020-02-26,CLOSE_Long,8820.5224609375,46.61286589928846,411.14983063334154,413825.67635482666,Reverse to Short,71957.20060034406,71546.05076971072
2020-02-26,ENTRY_SHORT,8820.5224609375,46.447069479797484,409.68741959127834,413415.98893523536,Short,,
2020-04-29,CLOSE_Short,8801.0380859375,46.447069479797484,408.7824274718829,413912.1986271589,Reverse to Long,904.9921193954291,496.2096919235462
2020-04-29,ENTRY_LONG,8801.0380859375,46.559629970881744,409.7730766408873,413502.425550518,Long,,
2020-09-02,CLOSE_Long,11414.0341796875,46.559629970881744,531.4332078812467,534631.1235829962,Reverse to Short,121660.13124035942,121128.69803247818
2020-09-02,ENTRY_SHORT,11414.0341796875,46.37140593893484,529.2848123471663,534101.838770649,Short,,
2020-10-21,CLOSE_SHORT,12269.528280354814,46.37140593893484,568.9552765675743,493862.41927367344,Stop Loss: SL Short,-39670.46422040802,-40239.4194969756
2020-11-05,ENTRY_LONG,15579.8486328125,31.381806499147956,488.9237950809367,493373.4954785925,Long,,
2021-04-18,CLOSE_Long,56216.18359375,31.381806499147956,1764.1653956596383,1766850.9306616348,Reverse to Short,1275241.6005787018,1273477.4351830422
2021-04-18,ENTRY_SHORT,56216.18359375,31.11528228233353,1749.1824213550185,1765101.7482402797,Short,,
2021-07-26,CLOSE_Short,37337.53515625,31.11528228233353,1161.767946113271,2351354.455535914,Reverse to Long,587414.4752417473,586252.7072956341
2021-07-26,ENTRY_LONG,37337.53515625,62.345864590123945,2327.840910980555,2349026.6146249333,Long,,
2021-09-07,CLOSE_Long,46811.12890625,62.345864590123945,2918.4803040998995,2936747.527440178,Reverse to Short,590639.3931193445,587720.9128152446
